,關鍵字,出現字數
0,台灣,106
1,高端,77
2,八卦,42
3,快訊,37
4,應該,36
5,鬼切,34
6,公投,33
7,真的,31
8,逢甲,31
9,開車,31
10,有人,29
11,中醫,29
12,肥胖,29
13,體內,29
14,濕氣,29
15,科學,29
16,同學,28
17,台中,27
18,英文,27
19,大生,25
20,小屁孩,25
21,21,24
22,世界,23
23,疫苗,23
24,可能,23
25,女生,23
26,殺人,23
27,一個,22
28,那麼,22
29,同意,22
30,中國,22
31,碩士生,22
32,家屬,22
33,淚控,22
34,斷層,21
35,怎樣,21
36,這麼,20
37,蓄意,20
38,地震,19
39,瑪莎,19
40,如何,19
41,買房,19
42,問題,19
43,為何,18
44,知道,18
45,484,18
46,遊行,18
47,歷史,17
48,比較,17
49,大陸,16
50,房價,16
51,30,16
52,這樣,15
53,自己,15
54,砂石車,15
55,公司,15
56,瑪莎拉蒂,15
57,年輕人,15
58,惡少,15
59,奶網紅,15
60,買下,15
61,70,15
62,理財,15
63,不能,14
64,核四,13
65,高雄,13
66,美國,13
67,時候,13
68,肥宅,13
69,平價,13
70,同志,13
71,日本,13
72,出國,12
73,騎士,12
74,20,12
75,政府,12
76,台北,12
77,哪個,12
78,車禍,12
79,各位,12
80,好吃,12
81,核四在,12
82,帶上,12
83,東西,12
84,正常,11
85,混打,11
86,魔女,11
87,今天,11
88,同夥,11
89,豪認,11
90,架住,11
91,辯稱,11
92,覺得,11
93,網查,11
94,慘了,11
95,檢警,11
96,幕後,11
97,憂鬱,11
98,工作,11
99,專區,11
100,地區,10
101,富少,10
102,多少,10
103,中餐,10
104,敘美,10
105,疑是,10
106,機車,10
107,很多,10
108,棒球隊,10
109,曝光,10
110,正妹,10
111,治安,10
112,台大,10
113,失敗,10
114,看到,10
115,不到,10
116,準備,10
117,全聯,10
118,家樂福,10
119,存在,9
120,莊人祥,9
121,一年,9
122,球棒,9
123,開放,9
124,突然,9
125,最近,9
126,甲甲,9
127,四個,9
128,遭毆,9
129,除了,9
130,傾向,9
131,嚴重,9
132,第二,9
133,地震帶,9
134,生育率,9
135,有救,9
136,安全,9
137,碩士,9
138,找到,8
139,只有,8
140,廠長,8
141,再現,8
142,哪裡,8
143,布丁,8
144,問盧,8
145,疫情,8
146,回應,8
147,雲林,8
148,成功,8
149,具有,8
150,矢板,8
151,明夫,8
152,女友,8
153,法則,8
154,國家,8
155,中共,8
156,胡志強,8
157,全額,8
158,抗漲,8
159,博士,7
